,Date,Rainfall_Terni,Flow_Rate_Lupa,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
0,01/01/2009,2.797,,,,
1,02/01/2009,2.797,,,,
2,03/01/2009,2.797,,,,
3,04/01/2009,2.797,,,,
4,05/01/2009,2.797,,,,
5,06/01/2009,2.797,,,,
6,07/01/2009,2.797,,,,
7,08/01/2009,2.797,,,,
8,09/01/2009,2.797,,,,
9,10/01/2009,2.797,,,,
10,11/01/2009,2.797,,,,
11,12/01/2009,2.797,,,,
12,13/01/2009,2.797,,,,
13,14/01/2009,2.797,,,,
14,15/01/2009,2.797,,,,
15,16/01/2009,2.797,,,,
16,17/01/2009,2.797,,,,
17,18/01/2009,2.797,,,,
18,19/01/2009,2.797,,,,
19,20/01/2009,2.797,,,,
20,21/01/2009,2.797,,,,
21,22/01/2009,2.797,,,,
22,23/01/2009,2.797,,,,
23,24/01/2009,2.797,,,,
24,25/01/2009,2.797,,,,
25,26/01/2009,2.797,,,,
26,27/01/2009,2.797,,,,
27,28/01/2009,2.797,,,,
28,29/01/2009,2.797,,,,
29,30/01/2009,2.797,,,,
30,31/01/2009,2.797,,,,
31,01/02/2009,2.763,,,,
32,02/02/2009,2.763,,,,
33,03/02/2009,2.763,,,,
34,04/02/2009,2.763,,,,
35,05/02/2009,2.763,,,,
36,06/02/2009,2.763,,,,
37,07/02/2009,2.763,,,,
38,08/02/2009,2.763,,,,
39,09/02/2009,2.763,,,,
40,10/02/2009,2.763,,,,
41,11/02/2009,2.763,,,,
42,12/02/2009,2.763,,,,
43,13/02/2009,2.763,,,,
44,14/02/2009,2.763,,,,
45,15/02/2009,2.763,,,,
46,16/02/2009,2.763,,,,
47,17/02/2009,2.763,,,,
48,18/02/2009,2.763,,,,
49,19/02/2009,2.763,-166.02,,,
50,20/02/2009,2.763,-166.97,,,
51,21/02/2009,2.763,-167.72,,,
52,22/02/2009,2.763,-168.65,,,
53,23/02/2009,2.763,-169.42,,,
54,24/02/2009,2.763,-170.21,,,
55,25/02/2009,2.763,-171.1,,,
56,26/02/2009,2.763,-171.69,,,
57,27/02/2009,2.763,-172.07,,,
58,28/02/2009,2.763,-172.33,,,
59,01/03/2009,2.076,-172.68,,,
60,02/03/2009,2.076,-172.88,,,
61,03/03/2009,2.076,-173.15,,,
62,04/03/2009,2.076,-173.55,,,
63,05/03/2009,2.076,-173.83,,,
64,06/03/2009,2.076,-175.7,,,
65,07/03/2009,2.076,-176.86,,,
66,08/03/2009,2.076,-177.86,,,
67,09/03/2009,2.076,-178.9,,,
68,10/03/2009,2.076,-180.08,,,
69,11/03/2009,2.076,-180.45,,,
70,12/03/2009,2.076,-181.34,,,
71,13/03/2009,2.076,-181.77,,,
72,14/03/2009,2.076,-181.71,,,
73,15/03/2009,2.076,-181.83,,,
74,16/03/2009,2.076,-181.8,,,
75,17/03/2009,2.076,-181.9,,,
76,18/03/2009,2.076,-181.86,,,
77,19/03/2009,2.076,-182.02,,,
78,20/03/2009,2.076,-182.14,,,
79,21/03/2009,2.076,-182.31,,,
80,22/03/2009,2.076,-182.13,,,
81,23/03/2009,2.076,-182.04,,,
82,24/03/2009,2.076,-182.0,,,
83,25/03/2009,2.076,-182.03,,,
84,26/03/2009,2.076,-181.87,,,
85,27/03/2009,2.076,-181.64,,,
86,28/03/2009,2.076,-181.4,,,
87,29/03/2009,2.076,-180.9,,,
88,30/03/2009,2.076,-180.61,,,
89,31/03/2009,2.076,-180.42,,,
90,01/04/2009,2.79,-180.18,,,
91,02/04/2009,2.79,-179.95,,,
92,03/04/2009,2.79,-179.92,,,
93,04/04/2009,2.79,-179.89,,,
94,05/04/2009,2.79,-179.94,,,
95,06/04/2009,2.79,-180.3,,,
96,07/04/2009,2.79,-180.43,,,
97,08/04/2009,2.79,-180.45,,,
98,09/04/2009,2.79,-180.46,,,
99,10/04/2009,2.79,,,,
100,11/04/2009,2.79,,,,
101,12/04/2009,2.79,,,,
102,13/04/2009,2.79,,,,
103,14/04/2009,2.79,,,,
104,15/04/2009,2.79,,,,
105,16/04/2009,2.79,,,,
106,17/04/2009,2.79,,,,
107,18/04/2009,2.79,,,,
108,19/04/2009,2.79,,,,
109,20/04/2009,2.79,,,,
110,21/04/2009,2.79,,,,
111,22/04/2009,2.79,,,,
112,23/04/2009,2.79,,,,
113,24/04/2009,2.79,,,,
114,25/04/2009,2.79,,,,
115,26/04/2009,2.79,,,,
116,27/04/2009,2.79,,,,
